placeInfo/name,placeInfo/rating,theme,placeInfo/address,placeInfo/latitude,placeInfo/longitude,placeInfo/webUrl,rating,text,placeInfo/numberOfReviews,lang
Okaz Market Theater,4.3, Performing arts theater,Taif Saudi Arabia · In Souq Okaz,21.47436907,40.6450438,,5,Best theater we enjoyed and had fun,834,en
Okaz Market Theater,4.3, Performing arts theater,Taif Saudi Arabia · In Souq Okaz,21.47436907,40.6450438,,5,Best theater we enjoyed and had fun,834,en
Muvi Cinemas - Salaam Mall,3.6, Movie theater,Riyadh Saudi Arabia · In Cenomi Salam Mall,24.72125541,46.67108133,,5,Big screen with large audience compared to old mall screen Riyadh,130,en
Billy Beez City,3.5, Children's amusement center,Riyadh Saudi Arabia · In Al Nakheel Mall,24.72125541,46.67108133,,5,Billy Beez City my favorite place...even me I enjoy and love this place...,609,en
Billy Beez City,3.5, Children's amusement center,Riyadh Saudi Arabia · In Al Nakheel Mall,24.72125541,46.67108133,,5,Billy Beez City my favorite place...even me I enjoy and love this place...,609,en
Muvi Cinemas | موڤي سينما,4.2, Movie theater,Riyadh Saudi Arabia · In The View Mall,24.72125541,46.67108133,,3,But small theater,1900,en
VOX Cinemas - Kingdom Centre,4.3, Movie theater,Riyadh Saudi Arabia · In Kingdom Centre,24.72125541,46.67108133,,5,"Comfy chairs, and nice place for couples",1400,en
Bulalohan sa Riyadh,4.3, Filipino,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Delicious food and have vedioke for entertainment,258,en
Bulalohan sa Riyadh,4.3, Filipino,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Delicious food and have vedioke for entertainment,258,en
RMROMA LAND,2.9, Theme park,Dammam Saudi Arabia · In Marina Mall,26.41187358,50.0904657,,5,Entertainment for children🤩🤩 but dangerous for parents 🤣🤣🤑🤑.. Lovely place.,21,en
RMROMA LAND,2.9, Theme park,Dammam Saudi Arabia · In Marina Mall,26.41187358,50.0904657,,5,Entertainment for children🤩🤩 but dangerous for parents 🤣🤣🤑🤑.. Lovely place.,21,en
Sparky's,3.9, Amusement park,Riyadh Saudi Arabia · In Al Nakheel Mall,24.72125541,46.67108133,,5,Entertainment for kids,925,en
Sparky's,3.9, Amusement park,Riyadh Saudi Arabia · In Al Nakheel Mall,24.72125541,46.67108133,,5,Entertainment for kids,925,en
Saffori Land,4.1, Amusement center,Riyadh Saudi Arabia · In العثيم مول | Othaim Mall,24.72125541,46.67108133,,5,Entertainment place for kids,4600,en
Empire Cinemas امباير سينما,4, Movie theater,Arar Saudi Arabia · In العثيم مول,30.95805483,41.05834971,,5,"Excelent movie theater, recommended 100%",96,en
Chuck E. Cheese's,3.8, ₹ ,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Excellent kids and family entertainment place,3100,en
Universal Bowling Center,4.2, Bowling alley,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Family place entertainment,5000,en
AMC Cinemas Riyadh Gallery 9,4.2, Movie theater,Riyadh Saudi Arabia · In Riyadh Gallery Mall,24.72125541,46.67108133,,5,"Fancy chairs ,nice screens and snacks",1500,en
