placeInfo/address,theme,city,imageUrl,placeInfo/latitude,placeInfo/longitude,placeInfo/id,placeInfo/numberOfReviews,rating,lang,text,placeInfo/name,placeInfo/rating,placeInfo/webUrl
"8627+J24, Prince Nayef St, Al Khobar Al Shamalia, Al Khobar 34426, Saudi Arabia",Beauty salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipMYx3xah8cqgdJaOP_WAQ47Bd8E00yL4VgdBFWF=w408-h306-k-no,26.3015182,50.2125771,ChIJiUfXEUXoST4RKufiLbahCHA,238,3,,,Profile Ladies Centre مركز بروفايل للتجميل,4,https://www.google.com/maps/search/?api=1&query=Profile%20Ladies%20Centre%20%D9%85%D8%B1%D9%83%D8%B2%20%D8%A8%D8%B1%D9%88%D9%81%D8%A7%D9%8A%D9%84%20%D9%84%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84&query_place_id=ChIJiUfXEUXoST4RKufiLbahCHA
"alkeal, Jeddah 23435, Saudi Arabia",Eyelash salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipM904QytlINupwkLRgB2MbHNzpSBrWX8LaH7iqy=w408-h272-k-no,21.5666275,39.1446177,ChIJ4bFNGxLbwxURul7e915zZ7U,137,5,,,N.Lashes,4,https://www.google.com/maps/search/?api=1&query=N.Lashes&query_place_id=ChIJ4bFNGxLbwxURul7e915zZ7U
"Al Harrany Street, 4020, 6783 Abu Al Hasan Al Harrany St Al Jisr Al Khobar 34714 4020 Abu Al Hasan, Al Khobar 34714, Saudi Arabia",Beauty salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipPEHg0pJ1FAIWST3AQtlmv9H0Lca4BBZyeeQeK4=w425-h240-k-no,26.2024946,50.2022728,ChIJVdmJwULDST4R2b7LkixQgpI,193,5,,,صالون مون ليدي,4,https://www.google.com/maps/search/?api=1&query=%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D9%85%D9%88%D9%86%20%D9%84%D9%8A%D8%AF%D9%8A&query_place_id=ChIJVdmJwULDST4R2b7LkixQgpI
"Al Urubah Rd, Al Olaya, Riyadh 12333, Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipPQVeHYzPA7t2cTv5yGna_5DAVqXgxV-vYZ_U_k=w408-h544-k-no,24.7100918,46.668652,ChIJL6yquU0dLz4RJ8-nfSseUw0,1063,1,,,Moonlight Salon,4,https://www.google.com/maps/search/?api=1&query=Moonlight%20Salon&query_place_id=ChIJL6yquU0dLz4RJ8-nfSseUw0
"7659 Alaa Al Rahman, حي الخالدية، 2892، Jeddah 23422, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMxxwV5IWiK2kbKjsiByoTTGtFINck4w8iC5yqI=w408-h271-k-no,21.5614264,39.1341933,ChIJK2Ms3LfawxURu5V_dB0YHBo,1518,5,,,Manna Beauty Center | صالون منا سنتر,4.1,https://www.google.com/maps/search/?api=1&query=Manna%20Beauty%20Center%20%7C%20%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D9%85%D9%86%D8%A7%20%D8%B3%D9%86%D8%AA%D8%B1&query_place_id=ChIJK2Ms3LfawxURu5V_dB0YHBo
"8257 Al Imam Abdul Aziz, 2822، 2822، Al Faisaliyah District, Jeddah 23442, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPwchnhq5cWOH8Ba6hgPb44hGJLgiXhEZg3UVV9=w408-h544-k-no,21.5759294,39.1733112,ChIJrXbDL2fQwxUR4vy6WJstpO8,402,5,,,Harmony Beauty Salon for Ladies,4.1,https://www.google.com/maps/search/?api=1&query=Harmony%20Beauty%20Salon%20for%20Ladies&query_place_id=ChIJrXbDL2fQwxUR4vy6WJstpO8
"Muhammad Ibn Abdulaziz Ad Daghaythir, Al Malqa, Riyadh 13521, Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipMk_VRFFXvJOpAyzoovWZYPZNDelqNsbqSBGZmv=w408-h267-k-no,24.7976946,46.6191487,ChIJkQ9Nk7LjLj4RncvG5I2fhIQ,584,4,,,BELLEZZA LOUNGE,3.9,https://www.google.com/maps/search/?api=1&query=BELLEZZA%20LOUNGE&query_place_id=ChIJkQ9Nk7LjLj4RncvG5I2fhIQ
"Al Andalus, 3940 ابن عبدالمؤمن، حي 6729، Jeddah 23322 6729, Jeddah 23322, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMGU6-NXAFLA1Jxfqk8RqXa424zryhrqYFxehP_=w426-h240-k-no,21.5484179,39.1477415,ChIJ3RoPVKjFwxURNpKDzFvqQZk,401,5,,,Lucine Salon & Spa,4.1,https://www.google.com/maps/search/?api=1&query=Lucine%20Salon%20%26%20Spa&query_place_id=ChIJ3RoPVKjFwxURNpKDzFvqQZk
"Abu Bakr Alrazi St, As Sulimaniyah, Riyadh 11565, Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipO-SfytII_-y9mUafVUgaI8A0kxnT-H821LVTYe=w426-h240-k-no,24.690495,46.711237,ChIJtdpWLJ0DLz4RxaIsjDqPHHk,132,4,,,مشغل الرأس المرفوع HEADS UP SALON,4.1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B4%D8%BA%D9%84%20%D8%A7%D9%84%D8%B1%D8%A3%D8%B3%20%D8%A7%D9%84%D9%85%D8%B1%D9%81%D9%88%D8%B9%20HEADS%20UP%20SALON&query_place_id=ChIJtdpWLJ0DLz4RxaIsjDqPHHk
"Al Kurnaysh Br Rd, Al-Ruwais, Jeddah 21462, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPReZKxqVCemO-RXqI5FXfnRkpCRtkTBGqShn8k=w408-h544-k-no,21.5072681,39.1646631,ChIJnzkAuGXPwxUR5242g7xPEYs,372,3,,,7L - House of Beauty & Spa,4.1,https://www.google.com/maps/search/?api=1&query=7L%20-%20House%20of%20Beauty%20%26%20Spa&query_place_id=ChIJnzkAuGXPwxUR5242g7xPEYs
