placeInfo/address,theme,city,imageUrl,placeInfo/latitude,placeInfo/longitude,placeInfo/id,placeInfo/numberOfReviews,rating,lang,text,placeInfo/name,placeInfo/rating,placeInfo/webUrl
"Opp. Lamborghini Showroom،, طريق الأمير محمد بن عبدالعزيز،, As Sulimaniyah, Riyadh 12223, Saudi Arabia",Lebanese restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipPTeLzEKUzNGzALw7Cx3tM8VlqrmvufB_R185oy=w408-h427-k-no,24.7037615,46.7021494,ChIJDXjX3w4DLz4RFegvlTEsXgA,10336,5,,,Karam Beirut - Tahlia Street - Riyadh,4.1,https://www.google.com/maps/search/?api=1&query=Karam%20Beirut%20-%20Tahlia%20Street%20-%20Riyadh&query_place_id=ChIJDXjX3w4DLz4RFegvlTEsXgA
"7F4R+FF Sky Village, Abha 62545, Saudi Arabia",Lebanese restaurant,Abha,https://lh5.googleusercontent.com/p/AF1QipP-BjjmeRJutjFans-QpBkj9lIJyGKA0YMcg3e-=w408-h544-k-no,18.2561063,42.4910355,ChIJcezOOgBV4xURgj28i3Z1REk,1098,4,,,KARAMNA Abha,3.6,https://www.google.com/maps/search/?api=1&query=KARAMNA%20Abha&query_place_id=ChIJcezOOgBV4xURgj28i3Z1REk
"شارع خالد بن الوليد، حي المصيف مقابل صيدلية الدواء, Tabuk Saudi Arabia",Meat dish restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipPgT8CyBGgN9jwf6iC_z4FbhSuO3sQo-p59_9Po=w408-h306-k-no,28.4385949,36.5436842,ChIJO1Rrk36tqRURwT_DLY_IQdk,1671,5,,,مشويات الغوطة,3.9,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA%20%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9&query_place_id=ChIJO1Rrk36tqRURwT_DLY_IQdk
"The Equestrian Club, Al-Hamra'a, Jeddah 23212, Saudi Arabia",Mediterranean restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipO1i4f6PrwBGTlRcUS8eLZ1UYILdbsW0-7HJHrj=w408-h304-k-no,21.513858,39.1542498,ChIJpT2GYYfPwxURsdd4ImRJTPQ,2473,5,,,Nafoura,4.1,https://www.google.com/maps/search/?api=1&query=Nafoura&query_place_id=ChIJpT2GYYfPwxURsdd4ImRJTPQ
"King Saud Rd, Town Center, Al Bahah 65522, Saudi Arabia",Middle Eastern restaurant,Al Bahah,https://lh5.googleusercontent.com/p/AF1QipNlxmleWv1lHV552bs6fyndt30Ghkjfv8mX9KXE=w408-h471-k-no,20.0072116,41.4618932,ChIJlanieb1F7xURW-76PbGAHHo,8252,5,,,Fifth Season,3.8,https://www.google.com/maps/search/?api=1&query=Fifth%20Season&query_place_id=ChIJlanieb1F7xURW-76PbGAHHo
"Prince Sultan Rd, Al Zahra, Jeddah 23522, Saudi Arabia",Middle Eastern restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMHfN-V-fFCELLvC1K08Ko2Kx6b3F0FKeIpFt_s=w408-h544-k-no,21.6095822,39.1410604,ChIJu1UW2WzawxUR8MSuy51UO3Q,34434,5,,,Khayal Restaurant | مطعم خيال,4.2,https://www.google.com/maps/search/?api=1&query=Khayal%20Restaurant%20%7C%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%AE%D9%8A%D8%A7%D9%84&query_place_id=ChIJu1UW2WzawxUR8MSuy51UO3Q
"King Abdullah Rd, Ar Rahmaniyyah, Riyadh 12343, Saudi Arabia",Middle Eastern restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipMksB9QjuZeGUUByK58LojNy_2FQTkBmIBGZQ2s=w426-h240-k-no,24.7241975,46.6565631,ChIJDe8DD0QdLz4RB6Bw0Hqr3OM,28586,3,,,Mama Noura,4.2,https://www.google.com/maps/search/?api=1&query=Mama%20Noura&query_place_id=ChIJDe8DD0QdLz4RB6Bw0Hqr3OM
"3528 7509 طريق المدينة المنورة, Al Khasha, Abha 62521, Saudi Arabia",Middle Eastern restaurant,Abha,https://lh5.googleusercontent.com/p/AF1QipNq_St0AmrAiyZaN7QZNbhpAdMCVgrHwtjJzcrt=w426-h240-k-no,18.2130062,42.5018764,ChIJ7SpEhndU4xURS2y0ArEi3qY,881,5,,,Madinah Karachi Pakistani Restaurant 2,3.9,https://www.google.com/maps/search/?api=1&query=Madinah%20Karachi%20Pakistani%20Restaurant%202&query_place_id=ChIJ7SpEhndU4xURS2y0ArEi3qY
"Olaya Street، الاندلس مول, مبنى ٤ الدور الثالث, Riyadh Saudi Arabia",Moroccan restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipM7b_KvtHqRrNUOOyN3lhKR36QdcFmARqJHGBRI=w426-h240-k-no,24.7181621,46.6712566,ChIJQ4e6ucwCLz4RYKrZdKt1wWA,3003,1,,,Marrakesh Castle Restaurant,4.1,https://www.google.com/maps/search/?api=1&query=Marrakesh%20Castle%20Restaurant&query_place_id=ChIJQ4e6ucwCLz4RYKrZdKt1wWA
"9HP5+JGX, Al'awayshah, Tabuk 47914, Saudi Arabia",Pakistani restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipOavY4cYKIpqlGHHO8MLpjL6nmLXyIcFIIZefIC=w408-h306-k-no,28.386602,36.5588686,ChIJl4Y0WwCtqRURY0Ep6l3Gzuw,59,5,,,(Pakistani Restaurant) مطعم نوف محمود البلوی,4.3,https://www.google.com/maps/search/?api=1&query=(Pakistani%20Restaurant)%20%D9%85%D8%B7%D8%B9%D9%85%20%D9%86%D9%88%D9%81%20%D9%85%D8%AD%D9%85%D9%88%D8%AF%20%D8%A7%D9%84%D8%A8%D9%84%D9%88%DB%8C&query_place_id=ChIJl4Y0WwCtqRURY0Ep6l3Gzuw
